id,city,description,lat,lon,dat,cases
382,Lucknow,"Dengue stings 19 more in a day, tally crosses 1,100 mark in Lucknow",26.8381,80.9346001,2021/11/04,19
389,Jaipur,Jaipur hospitals under pressure as dengue cases soar,26.9154576,75.8189817,2021/11/08,0
390,Lucknow,30 dengue patients in 2 days in Lucknow,26.8381,80.9346001,2021/11/07,30
391,Kolkata,Dengue patient count catches up with Covid numbers in Kolkata hospitals,22.5414185,88.35769124,2021/11/07,0
395,Rajasthan,"Rajasthan reports 28 dengue deaths this year, highest since 2015",26.8105777,73.7684549,2021/11/09,28
396,Delhi,"Dengue death toll in Delhi rises to nine, cases mount to over 2,700",28.6517178,77.2219388,2021/11/08,2700
401,Delhi,"Submit status report on dengue steps, says Delhi high court",28.6517178,77.2219388,2021/11/10,0
402,Delhi,"Dengue situation in Delhi worsened this year compared to 2021, says health expert",28.6517178,77.2219388,2021/11/10,0
403,Ahmedabad,491% rise in dengue cases in Ahmedabad from 2020,23.0216238,72.5797068,2021/11/10,0
404,Lucknow,Dip in temperature fails to check dengue in Lucknow,26.8381,80.9346001,2021/11/10,0
410,Rajasthan,Health officials from Centre inspect Rajasthan to contain dengue,26.8105777,73.7684549,2021/11/12,0
418,Lucknow,No let-up: 17 more suspected dengue cases detected in Lucknow,26.8381,80.9346001,2021/11/08,17
419,Meerut,"Meerut reports 10 new dengue cases, active cases reach 246",29.00065255,77.76822875,2021/11/13,10
420,Rajasthan,Health officials from Centre inspect Rajasthan to contain dengue,26.8105777,73.7684549,2021/11/12,0
421,Lucknow,28 more cases of dengue ring alarm in Lucknow,26.8381,80.9346001,2021/11/11,28
